번호,이름
1,강문해변
2,경포해변
3,남애3리해변
4,망상해수욕장
5,문암해변
6,사천해수욕장
7,송지호해수욕장
8,순긋해변
9,안인해변
10,영진해변
11,옥계해수욕장
12,임원해변
13,하조대해수욕장
14,구룡포해수욕장
15,도리포유원지
16,진하해수욕장
17,하저리해수욕장
18,화진해수욕장
19,격포해넘이해수욕장
20,고사포해수욕장
21,선유도해수욕장
22,동산해수욕장
23,만성리검은모래해변
24,방죽포해수욕장
25,백길해수욕장
26,율포솔밭해수욕장
27,송정해수욕장
28,신지명사십리해수욕장
29,곽지해수욕장
30,청포대해수욕장
31,임랑해수욕장
32,하맹방해변
33,해운대해수욕장
34,협재해변
35,삼양해수욕장
36,신양섭지코지해변
37,기성망양해수욕장
38,학동흑진주몽돌해수욕장
39,몽산포해수욕장
40,무창포해수욕장
41,왜목마을해수욕장
42,연포해수욕장
43,장돌해수욕장
44,학암포해수욕장
