행정구역,위도,경도
충청남도 예산군,36.6706,126.7842
충청남도 태안군,36.7074,126.2792
전라북도 전주시 완산구,35.7921,127.1196
전라북도 전주시 덕진구,35.8588,127.1126
전라북도 군산시,35.9488,126.7186
전라북도 익산시,36.0232,126.9895
전라북도 정읍시,35.6027,126.9059
전라북도 남원시,35.4225,127.442
전라북도 김제시,35.8069,126.8961
전라북도 완주군,35.9188,127.2152
전라북도 진안군,35.8289,127.4301
전라북도 무주군,35.9394,127.713
전라북도 장수군,35.6576,127.5444
전라북도 임실군,35.5982,127.2366
전라북도 순창군,35.4336,127.0901
전라북도 고창군,35.4491,126.6158
전라북도 부안군,35.6776,126.6422
전라남도 목포시,34.8028,126.3905
전라남도 여수시,34.6945,127.6525
전라남도 순천시,34.9945,127.3894
전라남도 나주시,34.9886,126.7204
전라남도 광양시,35.0201,127.6553
전라남도 담양군,35.2915,126.9953
전라남도 곡성군,35.2166,127.2635
전라남도 구례군,35.2368,127.5031
전라남도 고흥군,34.5981,127.315
전라남도 보성군,34.8143,127.1626
전라남도 화순군,35.0082,127.0335
전라남도 장흥군,34.6753,126.922
전라남도 강진군,34.6203,126.7722
전라남도 해남군,34.5586,126.5113
전라남도 영암군,34.797,126.6262
전라남도 무안군,34.9537,126.4252
전라남도 함평군,35.1127,126.5355
전라남도 영광군,35.279,126.4503
전라남도 장성군,35.3296,126.7686
전라남도 완도군,34.2945,126.7785
전라남도 진도군,34.4366,126.211
전라남도 신안군,34.8098,126.0423
경상북도 포항시 남구,35.9585,129.4378
경상북도 포항시 북구,36.165,129.2343
경상북도 경주시,35.8266,129.236
경상북도 김천시,36.0605,128.0778
경상북도 안동시,36.5803,128.78
경상북도 구미시,36.2073,128.3555
경상북도 영주시,36.8705,128.5976
경상북도 영천시,36.0158,128.9426
경상북도 상주시,36.4296,128.067
경상북도 문경시,36.6908,128.1487
경상북도 경산시,35.8341,128.8091
경상북도 군위군,36.1701,128.6481
경상북도 의성군,36.362,128.615
경상북도 청송군,36.357,129.0574
경상북도 영양군,36.6964,129.145
경상북도 영덕군,36.4825,129.3176
경상북도 청도군,35.6729,128.7865
경상북도 고령군,35.7372,128.3068
경상북도 성주군,35.9072,128.2333
경상북도 칠곡군,36.0155,128.4626
경상북도 예천군,36.6539,128.4224
경상북도 봉화군,36.9342,128.913
경상북도 울진군,36.9041,129.3124
경상북도 울릉군,37.5019,130.8636
경상남도 진주시,35.2052,128.1298
경상남도 통영시,34.8249,128.3741
경상남도 사천시,35.0494,128.0373
경상남도 김해시,35.2722,128.8452
경상남도 밀양시,35.4985,128.7897
경상남도 거제시,34.8702,128.6235
경상남도 양산시,35.4019,129.041
경상남도 창원시 의창구,35.3091,128.6495
경상남도 창원시 성산구,35.1961,128.6719
경상남도 창원시 마산합포구,35.1354,128.4861
경상남도 창원시 마산회원구,35.2323,128.5366
경상남도 창원시 진해구,35.129,128.7367
경상남도 의령군,35.3924,128.2771
경상남도 함안군,35.291,128.4309
경상남도 창녕군,35.5083,128.4929
경상남도 고성군,35.016,128.2906
경상남도 남해군,34.8178,127.9417
경상남도 하동군,35.1373,127.7792
경상남도 산청군,35.3686,127.8844
경상남도 함양군,35.5517,127.7221
경상남도 거창군,35.7326,127.9041
경상남도 합천군,35.5767,128.1416
제주특별자치도 제주시,33.4429,126.5293
제주특별자치도 서귀포시,33.3243,126.5811
